"","CITY","SALARY_USD.length","SALARY_USD.median","SALARY_USD.mean","SALARY_USD.sd"
"1","Aca",1,24000,24000,NA
"2","Anserma",1,2520,2520,NA
"3","Arauca",1,5544,5544,NA
"4","Armenia",20,8407.5,10236.75,9575.53520216467
"5","Barrancabermeja",2,21716.5,21716.5,10866.1099064937
"6","Barranquilla",46,8550,17546.9347826087,24008.1271965254
"7","Bello",6,7470,12110,12658.0614629571
"8","Bogotá",472,12000,14790.3453389831,14717.7640610563
"9","Bucaramanga",28,7110,7240.42857142857,4840.42209231241
"10","Caicedonia",1,2520,2520,NA
"11","Cajicá",1,9000,9000,NA
"12","Caldas",1,7500,7500,NA
"13","Cali",151,7560,9788.25827814569,10088.985156406
"14","Cartagena",25,7200,10130.96,12492.1194241276
"15","Chía",2,33840,33840,41747.5843612538
"16","Colombia",1,1236,1236,NA
"17","Cúcuta",8,8250,12547.5,9954.08279479904
"18","Dosquebradas",1,7020,7020,NA
"19","Duitama",2,10500,10500,7212.48916810278
"20","Envigado",11,15000,26668.1818181818,30060.7560843642
"21","Facatativá",1,6120,6120,NA
"22","Funza",1,7500,7500,NA
"23","Girardot",1,1152,1152,NA
"24","Ibagué",17,3120,3666.23529411765,2592.96614732558
"25","Itagüí",1,15480,15480,NA
"26","Jamundi",1,7200,7200,NA
"27","La Calera",1,4785,4785,NA
"28","La Estrella",1,21000,21000,NA
"29","Manizales",27,7800,11574.2222222222,12524.9318509841
"30","Medellín",333,12675,16711.9039039039,17127.5757272284
"31","Moniquira",1,900,900,NA
"32","Montenegro",1,3600,3600,NA
"33","Montería",4,4110,3896,2792.26503040095
"34","Mosquera",2,6000,6000,2545.58441227157
"35","Neiva",1,3960,3960,NA
"36","Ocaña",2,5340,5340,7297.34198184517
"37","Orlando. Fl",1,80000,80000,NA
"38","Palmira",1,6840,6840,NA
"39","Pamplona",2,11010,11010,4369.91990773286
"40","Pasto",10,5580,5940,4677.456573823
"41","Pereira",21,6300,6389.80952380952,4726.68961979785
"42","Pitalito",1,495,495,NA
"43","Popayán",7,2742,4761,4534.87122198635
"44","Pradera",1,4320,4320,NA
"45","Puerto Libertador",1,7500,7500,NA
"46","Puerto Rico Caqueta",1,9000,9000,NA
"47","Quibdó",2,6737.5,6737.5,4437.09505194559
"48","Retiro",1,7800,7800,NA
"49","Rionegro",3,7500,12000,10500
"50","Roldanillo",1,10000,10000,NA
"51","Sabaneta",7,11310,36435,45711.4714814564
"52","San Gil",1,42000,42000,NA
"53","San Juan De Pasto",3,9360,10800,6598.90900073641
"54","Santa Marta",1,5610,5610,NA
"55","Saravena",1,3600,3600,NA
"56","Sibaté",1,9000,9000,NA
"57","Sincelejo",2,5910,5910,296.98484809835
"58","Soacha",5,3120,4296,4086.74442557887
"59","Sopó",1,7200,7200,NA
"60","Tuluá",11,1440,5217.27272727273,5312.76969368914
"61","Tunja",9,3600,3816.55555555556,3599.29010747644
"62","Valledupar",2,3225,3225,3924.44263558534
"63","Villavicencio",6,7980,8950,7443.62008702755
"64","Yopal",1,9000,9000,NA
"65","Zipaquirá",2,5400,5400,2545.58441227157
"66",NA,1,50000,50000,NA
